posx, posy, velx, vely, rot, lap, checkpoint, health, relposx, relposy, relvelx, relvely, relrot, enemyHealth, relCheckpointPosx, relCheckpointPosy, relCheckpointRot, gas, rotate, boost
473.843, 280.73, -2.23738, -5.24262, 351.82, 1, 1, 69, 19.1235, 153.579, -0.544226, -0.0931163, -344.722, 66, -149.843, -142.73, -125.427, 100, -1, 0
473.006, 275.049, -2.19785, -5.27737, 349.052, 1, 1, 69, 18.3807, 152.998, -0.592491, -0.0667892, -342.201, 66, -149.006, -137.049, -121.658, 100, -1, 0
472.189, 269.265, -2.16874, -5.30951, 346.278, 1, 1, 69, 15.0528, 154.078, -0.601862, 0.021534, -340.698, 66, -148.189, -131.265, -117.812, 100, -1, 0
471.378, 263.382, -2.14971, -5.3387, 343.498, 1, 1, 69, 14.2922, 153.76, -0.625367, 0.0494242, -338.188, 66, -147.378, -125.382, -113.888, 100, -1, 0
470.56, 257.403, -2.14034, -5.36456, 340.712, 1, 1, 69, -66.4702, -131.746, 5.5045, 8.77505, -133.939, 87, -146.56, -119.403, -109.882, 100, -1, 0
469.721, 251.333, -2.14022, -5.38674, 337.919, 1, 1, 69, -62.1331, -122.117, 5.53379, 8.83859, -130.952, 87, -145.721, -113.333, -105.793, 100, -1, 0
468.85, 245.177, -2.14892, -5.40491, 335.12, 1, 1, 69, -57.7338, -112.361, 5.57103, 8.89688, -127.925, 87, -144.85, -107.177, -101.619, 100, -1, 0
467.933, 238.941, -2.16606, -5.41875, 332.315, 1, 1, 69, -53.2609, -102.485, 5.61585, 8.94963, -124.855, 87, -143.933, -100.941, -97.3575, 100, -1, 0
466.96, 232.629, -2.19122, -5.42798, 329.505, 1, 1, 69, -48.7035, -92.4946, 5.66785, 8.99661, -121.736, 87, -142.96, -94.6294, -93.0068, 100, -1, 0
465.919, 226.25, -2.22391, -5.4323, 326.69, 1, 1, 69, -44.0511, -82.3986, 5.72658, 9.03755, -118.56, 87, -141.919, -88.2501, -88.5645, 100, -1, 0
464.798, 219.81, -2.26373, -5.43146, 323.87, 1, 1, 69, -39.2938, -72.2049, 5.79166, 9.07222, -115.315, 87, -140.798, -81.8098, -84.0282, 100, -1, 0
463.589, 213.316, -2.31023, -5.4252, 321.046, 1, 1, 69, -34.422, -61.9222, 5.86266, 9.10041, -111.977, 87, -139.589, -75.316, -79.3954, 100, -1, 0
469.598, 220.355, 2.72822, 3.7452, 318.613, 1, 1, 67, -44.2171, -78.5804, -4.24317, -9.19508, -109.247, 84, -145.598, -82.3555, -78.107, 100, -1, 0
473.093, 223.126, 2.51811, 3.4873, 316.283, 1, 1, 67, -49.0925, -86.6522, -3.85727, -8.63002, -106.749, 84, -149.093, -85.1255, -76.0071, 100, -1, 0
476.301, 225.645, 2.3085, 3.24246, 314.052, 1, 1, 67, -53.5055, -94.166, -3.47715, -8.08722, -104.446, 84, -152.301, -87.6447, -73.9707, 100, -1, 0
479.228, 227.93, 2.09982, 3.01029, 311.917, 1, 1, 67, -57.4667, -101.148, -3.10307, -7.56603, -102.314, 84, -155.228, -89.9303, -72.002, 100, -1, 0
481.88, 229.999, 1.89246, 2.79038, 309.874, 1, 1, 67, -32.9736, 118.38, -4.66508, -7.88167, 34.5615, 66, -157.88, -91.9985, -70.1037, 100, -1, 0
484.261, 231.865, 1.68678, 2.58231, 307.92, 1, 1, 67, -38.2321, 111.252, -4.47767, -7.68622, 33.1147, 66, -160.261, -93.8645, -68.2773, 100, -1, 0
486.379, 233.542, 1.48314, 2.38562, 306.051, 1, 1, 67, -43.2453, 104.3, -4.29175, -7.50177, 31.4288, 66, -162.379, -95.5423, -66.5233, 100, -1, 0
488.239, 235.045, 1.28178, 2.19989, 304.264, 1, 1, 67, -48.0188, 97.5104, -4.10758, -7.32791, 29.5186, 66, -164.239, -97.0451, -64.8415, 100, -1, 0
489.848, 236.385, 1.083, 2.02468, 302.553, 1, 1, 67, -52.5587, 90.8721, -3.92547, -7.16422, 27.4023, 66, -165.848, -98.385, -63.2308, 100, -1, 0
491.214, 237.573, 0.886992, 1.85955, 300.916, 1, 1, 67, -56.871, 84.3741, -3.74563, -7.01026, 25.1024, 66, -167.214, -99.573, -61.6894, 100, -1, 0
492.341, 238.619, 0.69396, 1.70409, 299.347, 1, 1, 67, -60.9621, 78.0067, -3.56829, -6.86563, 22.6452, 66, -168.341, -100.619, -60.2143, 100, -1, 0
493.239, 239.533, 0.504024, 1.55789, 297.841, 1, 1, 67, -64.8381, 71.7612, -3.39357, -6.72994, 20.0606, 66, -169.239, -101.533, -58.802, 100, -1, 0
493.912, 240.321, 0.31736, 1.42055, 296.391, 1, 1, 67, -68.5054, 65.63, -3.22166, -6.6028, 17.3813, 66, -169.912, -102.321, -57.4471, 100, -1, 0
494.368, 240.992, 0.134075, 1.29171, 294.989, 1, 1, 67, -71.9707, 59.607, -3.0527, -6.48385, 14.643, 66, -170.368, -102.992, -56.143, 100, -1, 0
494.615, 241.549, -0.0457835, 1.171, 293.627, 1, 1, 67, -75.2403, 53.6873, -2.88673, -6.37273, 11.883, 66, -170.615, -103.549, -54.8808, 100, -1, 0
494.658, 241.996, -0.222141, 1.05812, 292.292, 1, 1, 67, -78.3209, 47.8676, -2.72384, -6.26916, 9.13995, 66, -170.658, -103.996, -53.6496, 100, -1, 0
494.505, 242.337, -0.394983, 0.952801, 290.973, 1, 1, 67, -81.2188, 42.1458, -2.56406, -6.17287, 6.45236, 66, -170.505, -104.337, -52.4367, 100, -1, 0
