posx,posy,velx,vely,rot,lap,checkpoint,health,relposx,relposy,relvelx,relvely,relrot,enemyHealth,relCheckpointPosx,relCheckpointPosy,relCheckpointRot,gas,rotate,boost
195.554, 792.925, 0.081798, -1.39461, 8.95431, 0, 0, 100, 92.0491, -4.13806, 0.452597, 0.373059, 83.6197, 100, 321.446, -385.925, 131.254, 100, 1, 0
194.904, 791.203, 0.109538, -1.54441, 10.4332, 0, 0, 100, 93.3344, -3.61005, 0.506393, 0.385845, 81.7818, 100, 322.096, -384.203, 129.592, 100, 1, 0
194.267, 789.306, 0.141375, -1.68889, 11.9573, 0, 0, 100, 94.688, -3.04535, 0.553647, 0.397418, 79.8848, 100, 322.733, -382.306, 127.872, 100, 1, 0
193.649, 787.241, 0.177333, -1.82798, 13.5253, 0, 0, 100, 96.1016, -2.44409, 0.594406, 0.407579, 77.9315, 100, 323.351, -380.241, 126.097, 100, 1, 0
193.056, 785.01, 0.217393, -1.96176, 15.1358, 0, 0, 100, 97.5667, -1.80621, 0.628763, 0.41631, 75.9248, 100, 323.944, -378.01, 124.269, 100, 1, 0
192.494, 782.617, 0.261535, -2.09017, 16.7873, 0, 0, 100, 99.0752, -1.1319, 0.656804, 0.423417, 73.8673, 100, 324.506, -375.617, 122.388, 100, 1, 0
191.97, 780.067, 0.309711, -2.21319, 18.4784, 0, 0, 100, 100.619, -0.421631, 0.678647, 0.428772, 71.7617, 100, 325.03, -373.067, 120.458, 100, 1, 0
191.488, 777.364, 0.361903, -2.3308, 20.2079, 0, 0, 100, 102.189, 0.323853, 0.694372, 0.432249, 69.6105, 100, 325.512, -370.364, 118.48, 100, 1, 0
191.056, 774.513, 0.418065, -2.44293, 21.9745, 0, 0, 100, 103.778, 1.10382, 0.70409, 0.433668, 67.4162, 100, 325.944, -367.513, 116.456, 100, 1, 0
190.68, 771.518, 0.478107, -2.54956, 23.7767, 0, 0, 100, 105.377, 1.91693, 0.707952, 0.432913, 65.1811, 100, 326.32, -364.518, 114.388, 100, 1, 0
190.365, 768.383, 0.541973, -2.65057, 25.6135, 0, 0, 100, 106.979, 2.76172, 0.706073, 0.429754, 62.9077, 100, 326.635, -361.383, 112.278, 100, 1, 0
190.117, 765.115, 0.609576, -2.746, 27.4834, 0, 0, 100, 108.575, 3.63654, 0.698596, 0.424143, 60.5983, 100, 326.883, -358.115, 110.127, 100, 1, 0
189.944, 761.717, 0.68082, -2.83573, 29.3854, 0, 0, 100, 110.157, 4.53937, 0.685675, 0.415859, 58.2549, 100, 327.056, -354.717, 107.938, 100, 0, 0
190.723, 758.707, 0.755581, -2.91968, 29.3854, 0, 0, 100, 110.845, 4.95667, 0.667488, 0.404745, 58.0543, 100, 326.277, -351.707, 107.763, 100, 0, 0
191.576, 755.614, 0.828114, -3.00112, 29.3854, 0, 0, 100, 111.515, 5.36279, 0.649832, 0.393965, 57.8614, 100, 325.424, -348.614, 107.585, 100, 0, 0
192.503, 752.438, 0.898471, -3.08011, 29.3854, 0, 0, 100, 112.168, 5.75812, 0.632705, 0.383507, 57.676, 100, 324.497, -345.438, 107.405, 100, 0, 0
193.499, 749.184, 0.966702, -3.15674, 29.3854, 0, 0, 100, 112.803, 6.14307, 0.616107, 0.373364, 57.4975, 100, 323.501, -342.184, 107.222, 100, 0, 0
194.564, 745.853, 1.0329, -3.23106, 29.3854, 0, 0, 100, 113.421, 6.51782, 0.599992, 0.363525, 57.3257, 100, 322.436, -338.853, 107.037, 100, 0, 0
195.695, 742.447, 1.09711, -3.30316, 29.3854, 0, 0, 100, 114.024, 6.88275, 0.58436, 0.353981, 57.1603, 100, 321.305, -335.447, 106.848, 100, 0, 0
196.89, 738.97, 1.1594, -3.37309, 29.3854, 0, 0, 100, 113.679, 6.67578, 0.568221, 0.346381, 57.2538, 100, 320.11, -331.97, 106.657, 100, 0, 0
198.148, 735.423, 1.21982, -3.44093, 29.3854, 0, 0, 100, 114.256, 7.02728, 0.559551, 0.340962, 57.0951, 100, 318.852, -328.423, 106.462, 100, 0, 0
199.466, 731.807, 1.27841, -3.50673, 29.3854, 0, 0, 100, 114.824, 7.37335, 0.551157, 0.335707, 56.9405, 100, 317.534, -324.807, 106.263, 100, 0, 0
200.842, 728.127, 1.33526, -3.57055, 29.3854, 0, 0, 100, 115.384, 7.71417, 0.543, 0.330609, 56.7897, 100, 316.158, -321.127, 106.061, 100, 0, 0
202.276, 724.382, 1.3904, -3.63246, 29.3854, 0, 0, 100, 115.936, 8.04993, 0.535087, 0.325664, 56.6427, 100, 314.724, -317.382, 105.856, 100, 0, 0
203.764, 720.575, 1.44387, -3.69252, 29.3854, 0, 0, 100, 116.48, 8.38068, 0.527427, 0.320867, 56.4993, 100, 313.236, -313.575, 105.646, 100, 0, 0
205.306, 716.708, 1.49574, -3.75077, 29.3854, 0, 0, 100, 117.016, 8.70667, 0.519996, 0.316214, 56.3593, 100, 311.694, -309.708, 105.432, 100, 0, 0
206.9, 712.783, 1.54607, -3.80727, 29.3854, 0, 0, 100, 117.544, 9.02802, 0.512774, 0.311701, 56.2227, 100, 310.1, -305.783, 105.213, 100, 0, 0
208.544, 708.802, 1.59487, -3.86208, 29.3854, 0, 0, 100, 118.066, 9.34485, 0.505783, 0.307323, 56.0891, 100, 308.456, -301.802, 104.99, 100, 0, 0
210.237, 704.765, 1.64221, -3.91525, 29.3854, 0, 0, 100, 118.58, 9.65729, 0.499001, 0.303076, 55.9587, 100, 306.763, -297.765, 104.762, 100, 0, 0
211.978, 700.676, 1.68815, -3.96682, 29.3854, 0, 0, 100, 119.088, 9.96545, 0.492409, 0.298957, 55.8312, 100, 305.022, -293.676, 104.529, 100, 0, 0
213.764, 696.535, 1.7327, -4.01684, 29.3854, 0, 0, 100, 119.589, 10.2695, 0.486014, 0.294961, 55.7065, 100, 303.236, -289.535, 104.291, 100, 0, 0
215.595, 692.344, 1.77592, -4.06537, 29.3854, 0, 0, 100, 120.083, 10.5696, 0.479811, 0.291086, 55.5845, 100, 301.405, -285.344, 104.047, 100, 0, 0
217.469, 688.104, 1.81784, -4.11243, 29.3854, 0, 0, 100, 120.572, 10.8658, 0.473794, 0.287326, 55.4651, 100, 299.531, -281.104, 103.797, 100, 0, 0
219.385, 683.817, 1.85849, -4.15809, 29.3854, 0, 0, 100, 121.054, 11.1583, 0.467972, 0.28368, 55.3482, 100, 297.615, -276.817, 103.541, 100, 0, 0
221.342, 679.485, 1.89794, -4.20237, 29.3854, 0, 0, 100, 121.531, 11.4471, 0.462311, 0.280143, 55.2338, 100, 295.658, -272.485, 103.279, 100, 0, 0
223.338, 675.108, 1.9362, -4.24533, 29.3854, 0, 0, 100, 122.002, 11.7324, 0.456819, 0.276711, 55.1217, 100, 293.662, -268.108, 103.01, 100, 0, 0
225.372, 670.689, 1.9733, -4.287, 29.3854, 0, 0, 100, 122.467, 12.0142, 0.451506, 0.273383, 55.0118, 100, 291.628, -263.689, 102.734, 100, 0, 0
227.443, 666.228, 2.00929, -4.32741, 29.3854, 0, 0, 100, 122.928, 12.2927, 0.446353, 0.270154, 54.9041, 100, 289.557, -259.228, 102.451, 100, 0, 0
229.551, 661.726, 2.04421, -4.36662, 29.3854, 0, 0, 100, 123.382, 12.5679, 0.44134, 0.267023, 54.7985, 100, 287.449, -254.726, 102.161, 100, 0, 0
231.693, 657.185, 2.07807, -4.40465, 29.3854, 0, 0, 100, 123.832, 12.8401, 0.436492, 0.263985, 54.6948, 100, 285.307, -250.185, 101.862, 100, 1, 0
